,user_id,place_id,rating,user,place,rates
0,161,1202,3.2,0,0,3.2
1,96,1570,3.3,1,1,3.3
2,71,1191,3.0,2,2,3.0
3,19,1429,3.0,3,3,3.0
4,34,1209,3.8,4,4,3.8
5,206,1129,4.6,5,5,4.6
6,50,1292,4.2,6,6,4.2
7,175,1009,4.3,7,7,4.3
8,46,1146,4.0,8,8,4.0
9,184,1173,4.6,9,9,4.6
10,185,1517,4.8,10,10,4.8
11,83,1410,4.7,11,11,4.7
12,51,1154,4.6,12,12,4.6
13,54,1427,3.4,13,13,3.4
14,90,1484,4.2,14,14,4.2
15,81,1606,4.2,15,15,4.2
16,118,1458,4.1,16,16,4.1
17,156,1601,4.0,17,17,4.0
18,19,1609,3.2,3,18,3.2
19,27,1545,3.2,18,19,3.2
20,176,1282,4.8,19,20,4.8
21,244,1302,4.3,20,21,4.3
22,249,1254,3.5,21,22,3.5
23,147,1406,3.6,22,23,3.6
24,225,1106,4.2,23,24,4.2
25,179,1467,3.8,24,25,3.8
26,7,1198,3.9,25,26,3.9
27,157,1482,3.1,26,27,3.1
28,247,1648,3.3,27,28,3.3
29,171,1572,3.8,28,29,3.8
30,69,1193,4.4,29,30,4.4
31,94,1457,3.1,30,31,3.1
32,113,1607,3.7,31,32,3.7
33,107,1632,4.4,32,33,4.4
34,120,1206,4.6,33,34,4.6
35,186,1463,3.4,34,35,3.4
36,136,1466,4.5,35,36,4.5
37,170,1451,4.9,36,37,4.9
38,204,1249,4.8,37,38,4.8
39,42,1510,4.6,38,39,4.6
40,13,1418,4.4,39,40,4.4
41,154,1581,3.5,40,41,3.5
42,18,1045,4.3,41,42,4.3
43,42,1051,4.3,38,43,4.3
44,51,1244,3.8,12,44,3.8
45,244,1670,4.0,20,45,4.0
46,113,1277,4.4,31,46,4.4
47,212,1017,4.9,42,47,4.9
48,144,1089,3.6,43,48,3.6
49,101,1215,3.5,44,49,3.5
50,3,1532,4.2,45,50,4.2
51,219,1080,3.3,46,51,3.3
52,79,1419,4.2,47,52,4.2
53,250,1311,3.2,48,53,3.2
54,98,1323,4.0,49,54,4.0
55,173,1114,4.2,50,55,4.2
56,150,1605,3.1,51,56,3.1
57,232,1100,3.4,52,57,3.4
58,23,1027,3.7,53,58,3.7
59,59,1420,3.7,54,59,3.7
60,190,1431,4.4,55,60,4.4
61,113,1229,4.1,31,61,4.1
62,68,1200,3.8,56,62,3.8
63,243,1287,3.9,57,63,3.9
64,54,1107,3.0,13,64,3.0
65,57,1480,4.5,58,65,4.5
66,233,1521,3.1,59,66,3.1
67,151,1551,4.7,60,67,4.7
68,111,1546,4.1,61,68,4.1
69,60,1092,4.1,62,69,4.1
70,73,1490,4.4,63,70,4.4
71,216,1690,4.7,64,71,4.7
72,213,1584,4.9,65,72,4.9
73,233,1123,4.1,59,73,4.1
74,238,1326,3.3,66,74,3.3
75,55,1192,4.8,67,75,4.8
76,117,1366,3.1,68,76,3.1
77,208,1585,4.6,69,77,4.6
78,63,1287,4.4,70,63,4.4
79,184,1500,4.8,9,78,4.8
80,55,1136,4.8,67,79,4.8
81,25,1195,3.1,71,80,3.1
82,26,1639,4.2,72,81,4.2
83,177,1681,3.2,73,82,3.2
84,63,1691,3.2,70,83,3.2
85,173,1252,3.9,50,84,3.9
86,73,1346,3.2,63,85,3.2
87,79,1218,4.5,47,86,4.5
88,167,1685,4.9,74,87,4.9
89,225,1018,4.1,23,88,4.1
90,65,1073,3.5,75,89,3.5
91,69,1165,4.7,29,90,4.7
92,184,1241,4.7,9,91,4.7
93,9,1085,4.5,76,92,4.5
94,236,1500,4.2,77,78,4.2
95,198,1633,4.7,78,93,4.7
96,156,1529,3.3,17,94,3.3
97,173,1640,4.9,50,95,4.9
98,26,1273,4.9,72,96,4.9
99,28,1591,4.7,79,97,4.7
100,40,1076,3.5,80,98,3.5
101,143,1472,4.7,81,99,4.7
102,134,1110,4.0,82,100,4.0
103,27,1045,4.2,18,42,4.2
104,38,1068,4.7,83,101,4.7
105,196,1207,3.1,84,102,3.1
106,203,1220,3.7,85,103,3.7
107,85,1278,4.6,86,104,4.6
108,64,1429,4.6,87,3,4.6
109,30,1639,4.7,88,81,4.7
110,210,1308,3.3,89,105,3.3
111,99,1384,4.4,90,106,4.4
112,131,1348,3.3,91,107,3.3
113,190,1435,4.6,55,108,4.6
114,12,1363,3.5,92,109,3.5
115,91,1410,4.5,93,11,4.5
116,245,1445,3.9,94,110,3.9
117,30,1671,5.0,88,111,5.0
118,213,1596,4.2,65,112,4.2
119,38,1472,4.3,83,99,4.3
120,85,1173,3.7,86,9,3.7
121,60,1628,4.5,62,113,4.5
122,38,1134,4.0,83,114,4.0
123,104,1116,3.0,95,115,3.0
124,143,1565,4.2,81,116,4.2
125,146,1062,4.7,96,117,4.7
126,180,1544,3.5,97,118,3.5
127,29,1154,3.4,98,12,3.4
128,112,1079,4.2,99,119,4.2
129,230,1325,4.6,100,120,4.6
130,188,1263,3.5,101,121,3.5
131,21,1592,4.9,102,122,4.9
132,145,1061,4.9,103,123,4.9
133,233,1145,3.4,59,124,3.4
134,243,1136,3.5,57,79,3.5
135,146,1372,4.4,96,125,4.4
136,185,1327,4.9,10,126,4.9
137,119,1267,4.4,104,127,4.4
138,165,1673,3.9,105,128,3.9
139,60,1299,3.3,62,129,3.3
140,166,1066,3.9,106,130,3.9
141,140,1104,4.2,107,131,4.2
142,203,1426,3.7,85,132,3.7
143,240,1181,4.0,108,133,4.0
144,244,1331,3.3,20,134,3.3
145,113,1008,3.9,31,135,3.9
